SE_SIN_PRI,casos_dengue,casos_chik,UF,casos_arbo,casos_srag,casos_covid,casos_influenza,casos_outros_srag,casos_na_srag
2009-10-18,1,0,RO,1,,,,,
2009-10-18,0,0,AC,0,,,,,
2009-10-18,2,0,AM,2,,,,,
2009-10-18,0,0,RR,0,,,,,
2009-10-18,1,0,PA,1,,,,,
2009-10-18,0,0,AP,0,,,,,
2009-10-18,0,0,TO,0,,,,,
2009-10-18,0,0,MA,0,,,,,
2009-10-18,0,0,PI,0,,,,,
2009-10-18,0,0,CE,0,,,,,
2009-10-18,0,0,RN,0,,,,,
2009-10-18,0,0,PB,0,,,,,
2009-10-18,1,0,PE,1,,,,,
2009-10-18,0,0,AL,0,,,,,
2009-10-18,0,0,SE,0,,,,,
2009-10-18,0,0,BA,0,,,,,
2009-10-18,1,0,MG,1,,,,,
2009-10-18,0,0,ES,0,,,,,
2009-10-18,1,0,RJ,1,,,,,
2009-10-18,1,0,SP,1,,,,,
2009-10-18,0,0,PR,0,,,,,
2009-10-18,0,0,SC,0,,,,,
2009-10-18,0,0,RS,0,,,,,
2009-10-18,0,0,MS,0,,,,,
2009-10-18,1,0,MT,1,,,,,
2009-10-18,0,0,GO,0,,,,,
2009-10-18,0,0,DF,0,,,,,
2009-10-25,0,0,RO,0,,,,,
2009-10-25,2,0,AC,2,,,,,
2009-10-25,0,0,AM,0,,,,,
2009-10-25,0,0,RR,0,,,,,
2009-10-25,0,0,PA,0,,,,,
2009-10-25,0,0,AP,0,,,,,
2009-10-25,0,0,TO,0,,,,,
2009-10-25,0,0,MA,0,,,,,
2009-10-25,0,0,PI,0,,,,,
2009-10-25,0,0,CE,0,,,,,
2009-10-25,0,0,RN,0,,,,,
2009-10-25,0,0,PB,0,,,,,
2009-10-25,0,0,PE,0,,,,,
2009-10-25,0,0,AL,0,,,,,
2009-10-25,0,0,SE,0,,,,,
2009-10-25,1,0,BA,1,,,,,
2009-10-25,2,0,MG,2,,,,,
2009-10-25,0,0,ES,0,,,,,
2009-10-25,0,0,RJ,0,,,,,
2009-10-25,0,0,SP,0,,,,,
2009-10-25,0,0,PR,0,,,,,
2009-10-25,0,0,SC,0,,,,,
2009-10-25,1,0,RS,1,,,,,
2009-10-25,1,0,MS,1,,,,,
2009-10-25,1,0,MT,1,,,,,
2009-10-25,9,0,GO,9,,,,,
2009-10-25,0,0,DF,0,,,,,
2009-11-01,0,0,RO,0,,,,,
2009-11-01,0,0,AC,0,,,,,
2009-11-01,0,0,AM,0,,,,,
2009-11-01,0,0,RR,0,,,,,
2009-11-01,0,0,PA,0,,,,,
2009-11-01,0,0,AP,0,,,,,
2009-11-01,0,0,TO,0,,,,,
2009-11-01,0,0,MA,0,,,,,
2009-11-01,0,0,PI,0,,,,,
2009-11-01,0,0,CE,0,,,,,
2009-11-01,0,0,RN,0,,,,,
2009-11-01,0,0,PB,0,,,,,
2009-11-01,0,0,PE,0,,,,,
2009-11-01,0,0,AL,0,,,,,
2009-11-01,0,0,SE,0,,,,,
2009-11-01,4,0,BA,4,,,,,
2009-11-01,1,0,MG,1,,,,,
2009-11-01,0,0,ES,0,,,,,
2009-11-01,0,0,RJ,0,,,,,
2009-11-01,0,0,SP,0,,,,,
2009-11-01,0,0,PR,0,,,,,
2009-11-01,0,0,SC,0,,,,,
2009-11-01,0,0,RS,0,,,,,
2009-11-01,1,0,MS,1,,,,,
2009-11-01,2,0,MT,2,,,,,
2009-11-01,1,0,GO,1,,,,,
2009-11-01,0,0,DF,0,,,,,
2009-11-08,1,0,RO,1,,,,,
2009-11-08,0,0,AC,0,,,,,
2009-11-08,0,0,AM,0,,,,,
2009-11-08,0,0,RR,0,,,,,
2009-11-08,0,0,PA,0,,,,,
2009-11-08,0,0,AP,0,,,,,
2009-11-08,0,0,TO,0,,,,,
2009-11-08,0,0,MA,0,,,,,
2009-11-08,0,0,PI,0,,,,,
2009-11-08,0,0,CE,0,,,,,
2009-11-08,0,0,RN,0,,,,,
2009-11-08,0,0,PB,0,,,,,
2009-11-08,0,0,PE,0,,,,,
2009-11-08,1,0,AL,1,,,,,
2009-11-08,0,0,SE,0,,,,,
2009-11-08,11,0,BA,11,,,,,
2009-11-08,0,0,MG,0,,,,,
2009-11-08,1,0,ES,1,,,,,
2009-11-08,1,0,RJ,1,,,,,
2009-11-08,0,0,SP,0,,,,,
2009-11-08,0,0,PR,0,,,,,
2009-11-08,0,0,SC,0,,,,,
2009-11-08,0,0,RS,0,,,,,
2009-11-08,0,0,MS,0,,,,,
2009-11-08,2,0,MT,2,,,,,
2009-11-08,6,0,GO,6,,,,,
2009-11-08,0,0,DF,0,,,,,
2009-11-15,3,0,RO,3,,,,,
2009-11-15,1,0,AC,1,,,,,
2009-11-15,0,0,AM,0,,,,,
2009-11-15,0,0,RR,0,,,,,
2009-11-15,1,0,PA,1,,,,,
2009-11-15,0,0,AP,0,,,,,
2009-11-15,0,0,TO,0,,,,,
2009-11-15,0,0,MA,0,,,,,
2009-11-15,0,0,PI,0,,,,,
2009-11-15,0,0,CE,0,,,,,
2009-11-15,0,0,RN,0,,,,,
2009-11-15,0,0,PB,0,,,,,
2009-11-15,0,0,PE,0,,,,,
2009-11-15,0,0,AL,0,,,,,
2009-11-15,0,0,SE,0,,,,,
2009-11-15,8,0,BA,8,,,,,
2009-11-15,0,0,MG,0,,,,,
2009-11-15,0,0,ES,0,,,,,
2009-11-15,0,0,RJ,0,,,,,
2009-11-15,2,0,SP,2,,,,,
2009-11-15,0,0,PR,0,,,,,
2009-11-15,0,0,SC,0,,,,,
2009-11-15,0,0,RS,0,,,,,
2009-11-15,4,0,MS,4,,,,,
2009-11-15,8,0,MT,8,,,,,
2009-11-15,7,0,GO,7,,,,,
2009-11-15,0,0,DF,0,,,,,
2009-11-22,3,0,RO,3,,,,,
2009-11-22,5,0,AC,5,,,,,
2009-11-22,1,0,AM,1,,,,,
2009-11-22,1,0,RR,1,,,,,
2009-11-22,1,0,PA,1,,,,,
2009-11-22,1,0,AP,1,,,,,
2009-11-22,0,0,TO,0,,,,,
2009-11-22,0,0,MA,0,,,,,
2009-11-22,1,0,PI,1,,,,,
2009-11-22,0,0,CE,0,,,,,
2009-11-22,0,0,RN,0,,,,,
2009-11-22,0,0,PB,0,,,,,
2009-11-22,0,0,PE,0,,,,,
2009-11-22,0,0,AL,0,,,,,
2009-11-22,0,0,SE,0,,,,,
2009-11-22,19,0,BA,19,,,,,
2009-11-22,0,0,MG,0,,,,,
2009-11-22,0,0,ES,0,,,,,
2009-11-22,3,0,RJ,3,,,,,
2009-11-22,0,0,SP,0,,,,,
2009-11-22,0,0,PR,0,,,,,
2009-11-22,0,0,SC,0,,,,,
2009-11-22,0,0,RS,0,,,,,
2009-11-22,1,0,MS,1,,,,,
2009-11-22,8,0,MT,8,,,,,
2009-11-22,4,0,GO,4,,,,,
2009-11-22,0,0,DF,0,,,,,
2009-11-29,22,0,RO,22,,,,,
2009-11-29,7,0,AC,7,,,,,
2009-11-29,1,0,AM,1,,,,,
2009-11-29,0,0,RR,0,,,,,
2009-11-29,4,0,PA,4,,,,,
2009-11-29,2,0,AP,2,,,,,
2009-11-29,0,0,TO,0,,,,,
2009-11-29,0,0,MA,0,,,,,
2009-11-29,0,0,PI,0,,,,,
2009-11-29,2,0,CE,2,,,,,
2009-11-29,0,0,RN,0,,,,,
2009-11-29,0,0,PB,0,,,,,
2009-11-29,1,0,PE,1,,,,,
2009-11-29,0,0,AL,0,,,,,
2009-11-29,0,0,SE,0,,,,,
2009-11-29,30,0,BA,30,,,,,
2009-11-29,13,0,MG,13,,,,,
2009-11-29,1,0,ES,1,,,,,
2009-11-29,6,0,RJ,6,,,,,
2009-11-29,1,0,SP,1,,,,,
2009-11-29,3,0,PR,3,,,,,
2009-11-29,0,0,SC,0,,,,,
2009-11-29,0,0,RS,0,,,,,
2009-11-29,5,0,MS,5,,,,,
2009-11-29,26,0,MT,26,,,,,
2009-11-29,41,0,GO,41,,,,,
2009-11-29,4,0,DF,4,,,,,
2009-12-06,44,0,RO,44,,,,,
2009-12-06,9,0,AC,9,,,,,
2009-12-06,5,0,AM,5,,,,,
2009-12-06,1,0,RR,1,,,,,
2009-12-06,5,0,PA,5,,,,,
2009-12-06,0,0,AP,0,,,,,
2009-12-06,1,0,TO,1,,,,,
2009-12-06,1,0,MA,1,,,,,
2009-12-06,0,0,PI,0,,,,,
2009-12-06,1,0,CE,1,,,,,
2009-12-06,0,0,RN,0,,,,,
2009-12-06,1,0,PB,1,,,,,
2009-12-06,0,0,PE,0,,,,,
2009-12-06,2,0,AL,2,,,,,
2009-12-06,0,0,SE,0,,,,,
2009-12-06,33,0,BA,33,,,,,
2009-12-06,31,0,MG,31,,,,,
2009-12-06,1,0,ES,1,,,,,
2009-12-06,9,0,RJ,9,,,,,
2009-12-06,7,0,SP,7,,,,,
2009-12-06,0,0,PR,0,,,,,
2009-12-06,0,0,SC,0,,,,,
2009-12-06,0,0,RS,0,,,,,
2009-12-06,6,0,MS,6,,,,,
2009-12-06,65,0,MT,65,,,,,
2009-12-06,66,0,GO,66,,,,,
2009-12-06,2,0,DF,2,,,,,
2009-12-13,61,0,RO,61,,,,,
2009-12-13,8,0,AC,8,,,,,
2009-12-13,6,0,AM,6,,,,,
2009-12-13,0,0,RR,0,,,,,
2009-12-13,5,0,PA,5,,,,,
2009-12-13,0,0,AP,0,,,,,
2009-12-13,6,0,TO,6,,,,,
2009-12-13,1,0,MA,1,,,,,
2009-12-13,4,0,PI,4,,,,,
2009-12-13,2,0,CE,2,,,,,
2009-12-13,1,0,RN,1,,,,,
2009-12-13,0,0,PB,0,,,,,
2009-12-13,0,0,PE,0,,,,,
2009-12-13,0,0,AL,0,,,,,
2009-12-13,0,0,SE,0,,,,,
2009-12-13,65,0,BA,65,,,,,
2009-12-13,41,0,MG,41,,,,,
2009-12-13,2,0,ES,2,,,,,
2009-12-13,13,0,RJ,13,,,,,
