topSearches,value,geo,keyword,time,sys_time
sintomas de dengue,100,BR-AC,Dengue,2022-12,2024-11-13 10:29
dengue,100,BR-AC,Dengue,2023-01,2024-11-13 10:29
sintomas de dengue,11,BR-AC,Dengue,2023-01,2024-11-13 10:29
dengue,100,BR-AC,Dengue,2023-02,2024-11-13 10:29
sintomas dengue,27,BR-AC,Dengue,2023-02,2024-11-13 10:29
sintomas de dengue,12,BR-AC,Dengue,2023-02,2024-11-13 10:29
sintomas da dengue,7,BR-AC,Dengue,2023-02,2024-11-13 10:29
dengue,100,BR-AC,Dengue,2023-03,2024-11-13 10:29
dengue sintomas,28,BR-AC,Dengue,2023-03,2024-11-13 10:29
sintomas de dengue,16,BR-AC,Dengue,2023-03,2024-11-13 10:29
sintomas da dengue,11,BR-AC,Dengue,2023-03,2024-11-13 10:29
dengue,100,BR-AC,Dengue,2023-04,2024-11-13 10:29
dengue sintomas,28,BR-AC,Dengue,2023-04,2024-11-13 10:29
sintomas de dengue,17,BR-AC,Dengue,2023-04,2024-11-13 10:29
sintomas da dengue,8,BR-AC,Dengue,2023-04,2024-11-13 10:29
dengue hemorrágica,3,BR-AC,Dengue,2023-04,2024-11-13 10:29
sintomas del dengue,2,BR-AC,Dengue,2023-04,2024-11-13 10:29
dengue,100,BR-AC,Dengue,2023-05,2024-11-13 10:29
dengue sintomas,28,BR-AC,Dengue,2023-05,2024-11-13 10:29
sintomas de dengue,17,BR-AC,Dengue,2023-05,2024-11-13 10:29
,,BR-AC,Dengue,2023-06,2024-11-13 10:30
dengue,100,BR-AC,Dengue,2023-07,2024-11-13 10:30
sintomas de dengue,9,BR-AC,Dengue,2023-07,2024-11-13 10:30
sintomas de dengue,100,BR-AC,Dengue,2023-08,2024-11-13 10:30
,,BR-AC,Dengue,2023-09,2024-11-13 10:30
dengue,100,BR-AC,Dengue,2023-10,2024-11-13 10:30
sintomas de dengue,9,BR-AC,Dengue,2023-10,2024-11-13 10:30
dengue,100,BR-AC,Dengue,2023-11,2024-11-13 10:30
dengue sintomas,19,BR-AC,Dengue,2023-11,2024-11-13 10:30
sintomas de dengue,11,BR-AC,Dengue,2023-11,2024-11-13 10:30
sintomas da dengue,8,BR-AC,Dengue,2023-11,2024-11-13 10:30
dengue,100,BR-AC,Dengue,2023-12,2024-11-13 10:30
sintomas dengue,22,BR-AC,Dengue,2023-12,2024-11-13 10:30
sintomas de dengue,11,BR-AC,Dengue,2023-12,2024-11-13 10:30
sintomas da dengue,9,BR-AC,Dengue,2023-12,2024-11-13 10:30
dengue pode tomar dipirona,3,BR-AC,Dengue,2023-12,2024-11-13 10:30
dengue hemorrágica,3,BR-AC,Dengue,2023-12,2024-11-13 10:30
remedio para dengue,3,BR-AC,Dengue,2023-12,2024-11-13 10:30
remédio para dengue,3,BR-AC,Dengue,2023-12,2024-11-13 10:30
mosquito da dengue,2,BR-AC,Dengue,2023-12,2024-11-13 10:30
pode tomar dipirona com dengue,2,BR-AC,Dengue,2023-12,2024-11-13 10:30
dengue tratamento,2,BR-AC,Dengue,2023-12,2024-11-13 10:30
cha para dengue,2,BR-AC,Dengue,2023-12,2024-11-13 10:30
cid dengue,2,BR-AC,Dengue,2023-12,2024-11-13 10:30
o que tomar para dengue,1,BR-AC,Dengue,2023-12,2024-11-13 10:30
quais são os sintomas da dengue,1,BR-AC,Dengue,2023-12,2024-11-13 10:30
dengue,100,BR-AC,Dengue,2024-01,2024-11-13 10:30
sintomas de dengue,8,BR-AC,Dengue,2024-01,2024-11-13 10:30
sintomas da dengue,6,BR-AC,Dengue,2024-01,2024-11-13 10:30
mosquito da dengue,4,BR-AC,Dengue,2024-01,2024-11-13 10:30
