topicTitle,topicId,value,geo,keyword,time,sys_time
Symptom,/m/01b_06,100,BR-AC,Dengue,2022-12,2024-11-13 10:29
Mosquito,/m/09f96,39,BR-AC,Dengue,2022-12,2024-11-13 10:29
Yellow fever mosquito,/m/06y6_w,32,BR-AC,Dengue,2022-12,2024-11-13 10:29
Diarrhea,/m/0f3kl,30,BR-AC,Dengue,2022-12,2024-11-13 10:29
Symptom,/m/01b_06,100,BR-AC,Dengue,2023-01,2024-11-13 10:29
Fever,/m/0cjf0,18,BR-AC,Dengue,2023-01,2024-11-13 10:29
Health,/m/0kt51,16,BR-AC,Dengue,2023-01,2024-11-13 10:29
Malaria,/m/0542n,11,BR-AC,Dengue,2023-01,2024-11-13 10:29
Symptom,/m/01b_06,100,BR-AC,Dengue,2023-02,2024-11-13 10:29
Food,/m/02wbm,26,BR-AC,Dengue,2023-02,2024-11-13 10:29
Yellow fever mosquito,/m/06y6_w,18,BR-AC,Dengue,2023-02,2024-11-13 10:29
Body,/m/0180q,17,BR-AC,Dengue,2023-02,2024-11-13 10:29
Eating,/m/01f5gx,13,BR-AC,Dengue,2023-02,2024-11-13 10:29
Santa Cruz de la Sierra,/m/031v35,12,BR-AC,Dengue,2023-02,2024-11-13 10:29
Disease,/m/027x3,12,BR-AC,Dengue,2023-02,2024-11-13 10:29
Bleeding,/m/012n6x,11,BR-AC,Dengue,2023-02,2024-11-13 10:29
COVID-19,/g/11j2cc_qll,10,BR-AC,Dengue,2023-02,2024-11-13 10:29
Therapy,/m/03c1dkx,10,BR-AC,Dengue,2023-02,2024-11-13 10:29
Metamizole,/m/08j19g,8,BR-AC,Dengue,2023-02,2024-11-13 10:29
Symptom,/m/01b_06,100,BR-AC,Dengue,2023-03,2024-11-13 10:29
Cure,/m/0405g08,32,BR-AC,Dengue,2023-03,2024-11-13 10:29
COVID-19,/g/11j2cc_qll,24,BR-AC,Dengue,2023-03,2024-11-13 10:29
Metamizole,/m/08j19g,19,BR-AC,Dengue,2023-03,2024-11-13 10:29
Pharmaceutical drug,/m/018l35,15,BR-AC,Dengue,2023-03,2024-11-13 10:29
Mosquito,/m/09f96,12,BR-AC,Dengue,2023-03,2024-11-13 10:29
Platelet,/m/01bw6w,12,BR-AC,Dengue,2023-03,2024-11-13 10:29
Bleeding,/m/012n6x,11,BR-AC,Dengue,2023-03,2024-11-13 10:29
Malaria,/m/0542n,8,BR-AC,Dengue,2023-03,2024-11-13 10:29
Symptom,/m/01b_06,100,BR-AC,Dengue,2023-04,2024-11-13 10:29
Bleeding,/m/012n6x,23,BR-AC,Dengue,2023-04,2024-11-13 10:29
COVID-19,/g/11j2cc_qll,18,BR-AC,Dengue,2023-04,2024-11-13 10:29
Metamizole,/m/08j19g,18,BR-AC,Dengue,2023-04,2024-11-13 10:29
Fever,/m/0cjf0,17,BR-AC,Dengue,2023-04,2024-11-13 10:29
Eating,/m/01f5gx,13,BR-AC,Dengue,2023-04,2024-11-13 10:29
Leptospirosis,/m/02_j9l,12,BR-AC,Dengue,2023-04,2024-11-13 10:29
Disease,/m/027x3,10,BR-AC,Dengue,2023-04,2024-11-13 10:29
Therapy,/m/03c1dkx,9,BR-AC,Dengue,2023-04,2024-11-13 10:29
Platelet,/m/01bw6w,9,BR-AC,Dengue,2023-04,2024-11-13 10:29
Vaccine,/m/07__7,9,BR-AC,Dengue,2023-04,2024-11-13 10:29
Itch,/m/04kllm9,8,BR-AC,Dengue,2023-04,2024-11-13 10:29
Evil,/m/02plx,8,BR-AC,Dengue,2023-04,2024-11-13 10:29
Malaria,/m/0542n,8,BR-AC,Dengue,2023-04,2024-11-13 10:29
Tea,/m/07clx,6,BR-AC,Dengue,2023-04,2024-11-13 10:29
Acetaminophen,/m/0lbt3,6,BR-AC,Dengue,2023-04,2024-11-13 10:29
Yellow fever mosquito,/m/06y6_w,5,BR-AC,Dengue,2023-04,2024-11-13 10:29
Virus,/m/0g9pc,3,BR-AC,Dengue,2023-04,2024-11-13 10:29
Symptom,/m/01b_06,100,BR-AC,Dengue,2023-05,2024-11-13 10:29
Bleeding,/m/012n6x,25,BR-AC,Dengue,2023-05,2024-11-13 10:29
Disease,/m/027x3,18,BR-AC,Dengue,2023-05,2024-11-13 10:29
Metamizole,/m/08j19g,17,BR-AC,Dengue,2023-05,2024-11-13 10:29
Diarrhea,/m/0f3kl,16,BR-AC,Dengue,2023-05,2024-11-13 10:29
Fever,/m/0cjf0,15,BR-AC,Dengue,2023-05,2024-11-13 10:29
Malaria,/m/0542n,15,BR-AC,Dengue,2023-05,2024-11-13 10:29
Chikungunya virus infection,/m/01__7l,14,BR-AC,Dengue,2023-05,2024-11-13 10:29
Influenza,/m/0cycc,12,BR-AC,Dengue,2023-05,2024-11-13 10:29
COVID-19,/g/11j2cc_qll,11,BR-AC,Dengue,2023-05,2024-11-13 10:29
Virus,/m/0g9pc,10,BR-AC,Dengue,2023-05,2024-11-13 10:29
Yellow fever mosquito,/m/06y6_w,9,BR-AC,Dengue,2023-05,2024-11-13 10:29
Itch,/m/04kllm9,8,BR-AC,Dengue,2023-05,2024-11-13 10:29
Physical examination,/m/02vjj4,7,BR-AC,Dengue,2023-05,2024-11-13 10:29
Symptom,/m/01b_06,100,BR-AC,Dengue,2023-06,2024-11-13 10:30
Yellow fever mosquito,/m/06y6_w,76,BR-AC,Dengue,2023-06,2024-11-13 10:30
Mosquito,/m/09f96,50,BR-AC,Dengue,2023-06,2024-11-13 10:30
Malaria,/m/0542n,33,BR-AC,Dengue,2023-06,2024-11-13 10:30
Health,/m/0kt51,32,BR-AC,Dengue,2023-06,2024-11-13 10:30
Symptom,/m/01b_06,100,BR-AC,Dengue,2023-07,2024-11-13 10:30
Mosquito,/m/09f96,43,BR-AC,Dengue,2023-07,2024-11-13 10:30
Vaccine,/m/07__7,36,BR-AC,Dengue,2023-07,2024-11-13 10:30
Yellow fever mosquito,/m/06y6_w,33,BR-AC,Dengue,2023-07,2024-11-13 10:30
Dengue vaccine,/m/0115n7rn,25,BR-AC,Dengue,2023-07,2024-11-13 10:30
Luiz Inácio Lula da Silva,/m/0pc9q,21,BR-AC,Dengue,2023-07,2024-11-13 10:30
Disease,/m/027x3,20,BR-AC,Dengue,2023-07,2024-11-13 10:30
Symptom,/m/01b_06,100,BR-AC,Dengue,2023-08,2024-11-13 10:30
Mosquito,/m/09f96,62,BR-AC,Dengue,2023-08,2024-11-13 10:30
Disease,/m/027x3,40,BR-AC,Dengue,2023-08,2024-11-13 10:30
Yellow fever mosquito,/m/06y6_w,17,BR-AC,Dengue,2023-08,2024-11-13 10:30
Symptom,/m/01b_06,100,BR-AC,Dengue,2023-09,2024-11-13 10:30
Symptom,/m/01b_06,100,BR-AC,Dengue,2023-10,2024-11-13 10:30
Disease,/m/027x3,86,BR-AC,Dengue,2023-10,2024-11-13 10:30
Time,/m/07c_l,43,BR-AC,Dengue,2023-10,2024-11-13 10:30
Vaccine,/m/07__7,40,BR-AC,Dengue,2023-10,2024-11-13 10:30
Mosquito,/m/09f96,30,BR-AC,Dengue,2023-10,2024-11-13 10:30
Yellow fever mosquito,/m/06y6_w,22,BR-AC,Dengue,2023-10,2024-11-13 10:30
Fever,/m/0cjf0,21,BR-AC,Dengue,2023-10,2024-11-13 10:30
Symptom,/m/01b_06,100,BR-AC,Dengue,2023-11,2024-11-13 10:30
Bleeding,/m/012n6x,34,BR-AC,Dengue,2023-11,2024-11-13 10:30
Cure,/m/0405g08,30,BR-AC,Dengue,2023-11,2024-11-13 10:30
Mosquito,/m/09f96,25,BR-AC,Dengue,2023-11,2024-11-13 10:30
Fever,/m/0cjf0,24,BR-AC,Dengue,2023-11,2024-11-13 10:30
Platelet,/m/01bw6w,21,BR-AC,Dengue,2023-11,2024-11-13 10:30
Tea,/m/07clx,20,BR-AC,Dengue,2023-11,2024-11-13 10:30
Cause,/m/0j276x9,20,BR-AC,Dengue,2023-11,2024-11-13 10:30
COVID-19,/g/11j2cc_qll,19,BR-AC,Dengue,2023-11,2024-11-13 10:30
Disease,/m/027x3,19,BR-AC,Dengue,2023-11,2024-11-13 10:30
Infection,/m/098s1,16,BR-AC,Dengue,2023-11,2024-11-13 10:30
