topic_title,date,location,value,disease
"",2020-01,AC,,Influenza/gripe
"",2020-02,AC,,Influenza/gripe
gripe espanhola,2020-03,AC,100,Influenza/gripe
gripe espanhola,2020-04,AC,100,Influenza/gripe
gripe espanhola,2020-05,AC,100,Influenza/gripe
gripe espanhola,2020-06,AC,100,Influenza/gripe
gripe espanhola,2020-07,AC,100,Influenza/gripe
"",2020-08,AC,,Influenza/gripe
"",2020-09,AC,,Influenza/gripe
"",2020-10,AC,,Influenza/gripe
"",2020-11,AC,,Influenza/gripe
"",2020-12,AC,,Influenza/gripe
gripe espanhola,2021-01,AC,100,Influenza/gripe
"",2021-02,AC,,Influenza/gripe
gripe espanhola,2021-03,AC,100,Influenza/gripe
"",2021-04,AC,,Influenza/gripe
"",2021-05,AC,,Influenza/gripe
"",2021-06,AC,,Influenza/gripe
"",2021-07,AC,,Influenza/gripe
gripe,2021-08,AC,100,Influenza/gripe
"",2021-09,AC,,Influenza/gripe
"",2021-10,AC,,Influenza/gripe
"",2021-11,AC,,Influenza/gripe
gripe,2021-12,AC,100,Influenza/gripe
gripe h3n2,2021-12,AC,15,Influenza/gripe
influenza,2021-12,AC,13,Influenza/gripe
nova gripe,2021-12,AC,11,Influenza/gripe
remedio para gripe,2021-12,AC,7,Influenza/gripe
sintomas da nova gripe,2021-12,AC,5,Influenza/gripe
coquetel para gripe,2021-12,AC,2,Influenza/gripe
gripe h3n2 quanto tempo dura,2021-12,AC,1,Influenza/gripe
gripe,2022-01,AC,100,Influenza/gripe
influenza,2022-01,AC,17,Influenza/gripe
sintomas da gripe,2022-01,AC,9,Influenza/gripe
gripe h3n2,2022-01,AC,8,Influenza/gripe
sintomas da nova gripe,2022-01,AC,5,Influenza/gripe
sintomas da gripe h3n2,2022-01,AC,4,Influenza/gripe
sintomas do covid,2022-01,AC,3,Influenza/gripe
gripe espanhola,2022-01,AC,1,Influenza/gripe
"",2022-02,AC,,Influenza/gripe
remedio para gripe,2022-03,AC,100,Influenza/gripe
gripe,2022-04,AC,100,Influenza/gripe
influenza,2022-04,AC,11,Influenza/gripe
gripe,2022-05,AC,100,Influenza/gripe
gripe,2022-06,AC,100,Influenza/gripe
"",2022-07,AC,,Influenza/gripe
"",2022-08,AC,,Influenza/gripe
"",2022-09,AC,,Influenza/gripe
"",2022-10,AC,,Influenza/gripe
"",2022-11,AC,,Influenza/gripe
"",2022-12,AC,,Influenza/gripe
"",2023-01,AC,,Influenza/gripe
"",2023-02,AC,,Influenza/gripe
"",2023-03,AC,,Influenza/gripe
gripe,2023-04,AC,100,Influenza/gripe
remedio para gripe,2023-04,AC,5,Influenza/gripe
influenza,2023-05,AC,100,Influenza/gripe
gripe aviaria,2023-05,AC,30,Influenza/gripe
influenza,2023-06,AC,100,Influenza/gripe
"",2023-07,AC,,Influenza/gripe
"",2023-08,AC,,Influenza/gripe
"",2023-09,AC,,Influenza/gripe
"",2023-10,AC,,Influenza/gripe
"",2023-11,AC,,Influenza/gripe
"",2023-12,AC,,Influenza/gripe
"",2024-01,AC,,Influenza/gripe
"",2024-02,AC,,Influenza/gripe
"",2024-03,AC,,Influenza/gripe
influenza a,2024-04,AC,100,Influenza/gripe
"",2024-05,AC,,Influenza/gripe
"",2024-06,AC,,Influenza/gripe
"",2024-07,AC,,Influenza/gripe
"",2024-08,AC,,Influenza/gripe
"",2024-09,AC,,Influenza/gripe
"",2024-10,AC,,Influenza/gripe
"",2024-11,AC,,Influenza/gripe
"",2024-12,AC,,Influenza/gripe
"",2025-01,AC,,Influenza/gripe
"",2025-02,AC,,Influenza/gripe
gripe,2025-03,AC,100,Influenza/gripe
influenza,2025-03,AC,9,Influenza/gripe
"",2020-01,AL,,Influenza/gripe
gripe,2020-02,AL,100,Influenza/gripe
