risingSearches,keyword,value,unknown,geo,time,sys_time
sintomas del dengue,/m/09wsg,1023,TRUE,BR-AC,2024-01,2025-07-31 14:38
,/m/09wsg,,,BR-AL,2024-01,2025-07-31 14:38
exame de dengue,/m/09wsg,2650.5,TRUE,BR-AM,2024-01,2025-07-31 14:38
remédio para dengue,/m/09wsg,1375.5,TRUE,BR-AM,2024-01,2025-07-31 14:38
dengue da coceira,/m/09wsg,1048.5,TRUE,BR-AM,2024-01,2025-07-31 14:38
quais são os sintomas da dengue,/m/09wsg,665.5,TRUE,BR-AM,2024-01,2025-07-31 14:38
sintomas da dengue 2024,/m/09wsg,398,TRUE,BR-AM,2024-01,2025-07-31 14:38
dengue manaus,/m/09wsg,1.9,FALSE,BR-AM,2024-01,2025-07-31 14:38
qual os sintomas da dengue,/m/09wsg,0.6,FALSE,BR-AM,2024-01,2025-07-31 14:38
vacina da dengue,/m/09wsg,0.5,FALSE,BR-AM,2024-01,2025-07-31 14:38
dengue hemorrágica,/m/09wsg,0.5,FALSE,BR-AM,2024-01,2025-07-31 14:38
dengue hemorrágica,/m/09wsg,5187,TRUE,BR-AP,2024-01,2025-07-31 14:38
sintomas da dengue 2024,/m/09wsg,886.5,TRUE,BR-BA,2024-01,2025-07-31 14:38
quais os sintomas da dengue,/m/09wsg,1.2,FALSE,BR-BA,2024-01,2025-07-31 14:38
vacina da dengue,/m/09wsg,0.9,FALSE,BR-BA,2024-01,2025-07-31 14:38
quais sintomas da dengue,/m/09wsg,0.5,FALSE,BR-BA,2024-01,2025-07-31 14:38
vacina contra dengue,/m/09wsg,3042,TRUE,BR-CE,2024-01,2025-07-31 14:38
vacina da dengue,/m/09wsg,6.5,FALSE,BR-CE,2024-01,2025-07-31 14:38
preço vacina dengue,/m/09wsg,752,TRUE,BR-DF,2024-01,2025-07-31 14:38
tenda da dengue,/m/09wsg,725,TRUE,BR-DF,2024-01,2025-07-31 14:38
vacina dengue valor,/m/09wsg,480.5,TRUE,BR-DF,2024-01,2025-07-31 14:38
quanto tempo dura a dengue,/m/09wsg,357.5,TRUE,BR-DF,2024-01,2025-07-31 14:38
laboratorio exame,/m/09wsg,344,TRUE,BR-DF,2024-01,2025-07-31 14:38
o que é bom para dengue,/m/09wsg,291.5,TRUE,BR-DF,2024-01,2025-07-31 14:38
valor da vacina da dengue,/m/09wsg,274.5,TRUE,BR-DF,2024-01,2025-07-31 14:38
primeiros sintomas da dengue,/m/09wsg,266.5,TRUE,BR-DF,2024-01,2025-07-31 14:38
vacina da dengue quem pode tomar,/m/09wsg,265,TRUE,BR-DF,2024-01,2025-07-31 14:38
vacina da dengue preço,/m/09wsg,237.5,TRUE,BR-DF,2024-01,2025-07-31 14:38
tenda da dengue df,/m/09wsg,235.5,TRUE,BR-DF,2024-01,2025-07-31 14:38
vacina da dengue valor,/m/09wsg,231,TRUE,BR-DF,2024-01,2025-07-31 14:38
casos de dengue no df,/m/09wsg,225,TRUE,BR-DF,2024-01,2025-07-31 14:38
surto de dengue df,/m/09wsg,201,TRUE,BR-DF,2024-01,2025-07-31 14:38
fumacê dengue,/m/09wsg,200.5,TRUE,BR-DF,2024-01,2025-07-31 14:38
picada de mosquito da dengue,/m/09wsg,194.5,TRUE,BR-DF,2024-01,2025-07-31 14:38
tendas dengue df,/m/09wsg,193.5,TRUE,BR-DF,2024-01,2025-07-31 14:38
medicamento para dengue,/m/09wsg,193,TRUE,BR-DF,2024-01,2025-07-31 14:38
onde fazer teste de dengue,/m/09wsg,170,TRUE,BR-DF,2024-01,2025-07-31 14:38
repelente para dengue caseiro,/m/09wsg,169,TRUE,BR-DF,2024-01,2025-07-31 14:38
como saber se estou com dengue,/m/09wsg,152.5,TRUE,BR-DF,2024-01,2025-07-31 14:38
tempo de incubação dengue,/m/09wsg,142.5,TRUE,BR-DF,2024-01,2025-07-31 14:38
vacina dengue particular,/m/09wsg,139.5,TRUE,BR-DF,2024-01,2025-07-31 14:38
suco de inhame para dengue,/m/09wsg,131.5,TRUE,BR-DF,2024-01,2025-07-31 14:38
vacina contra dengue,/m/09wsg,1929.5,TRUE,BR-ES,2024-01,2025-07-31 14:38
sintomas de dengue leve,/m/09wsg,525.5,TRUE,BR-ES,2024-01,2025-07-31 14:38
vacina da dengue,/m/09wsg,1,FALSE,BR-ES,2024-01,2025-07-31 14:38
vacina dengue,/m/09wsg,0.7,FALSE,BR-ES,2024-01,2025-07-31 14:38
vacina dengue goiania,/m/09wsg,639.5,TRUE,BR-GO,2024-01,2025-07-31 14:38
como tratar dengue,/m/09wsg,400,TRUE,BR-GO,2024-01,2025-07-31 14:38
sintomas da covid,/m/09wsg,303,TRUE,BR-GO,2024-01,2025-07-31 14:38
em caso de suspeita de dengue não ingerir,/m/09wsg,297,TRUE,BR-GO,2024-01,2025-07-31 14:38
quem tem dengue pode tomar dipirona,/m/09wsg,206.5,TRUE,BR-GO,2024-01,2025-07-31 14:38
vacina dengue particular,/m/09wsg,153,TRUE,BR-GO,2024-01,2025-07-31 14:38
cid a90,/m/09wsg,101.5,TRUE,BR-GO,2024-01,2025-07-31 14:38
vacina da dengue,/m/09wsg,1,FALSE,BR-GO,2024-01,2025-07-31 14:38
notificação dengue,/m/09wsg,0.9,FALSE,BR-GO,2024-01,2025-07-31 14:38
vacina contra dengue,/m/09wsg,0.9,FALSE,BR-GO,2024-01,2025-07-31 14:38
vacina dengue,/m/09wsg,0.9,FALSE,BR-GO,2024-01,2025-07-31 14:38
pode tomar dipirona com dengue,/m/09wsg,0.8,FALSE,BR-GO,2024-01,2025-07-31 14:38
muriçoca,/m/09wsg,0.6,FALSE,BR-GO,2024-01,2025-07-31 14:38
coceira dengue,/m/09wsg,0.5,FALSE,BR-GO,2024-01,2025-07-31 14:38
,/m/09wsg,,,BR-MA,2024-01,2025-07-31 14:38
repelente para dengue,/m/09wsg,658,TRUE,BR-MG,2024-01,2025-07-31 14:38
sintomas dengue 2024,/m/09wsg,488,TRUE,BR-MG,2024-01,2025-07-31 14:38
vacina da dengue quem pode tomar,/m/09wsg,242,TRUE,BR-MG,2024-01,2025-07-31 14:38
sintomas de dengue 2024,/m/09wsg,228,TRUE,BR-MG,2024-01,2025-07-31 14:38
vacina dengue araujo,/m/09wsg,218.5,TRUE,BR-MG,2024-01,2025-07-31 14:38
sintomas da dengue 2024,/m/09wsg,194,TRUE,BR-MG,2024-01,2025-07-31 14:38
dengue passa para outra pessoa,/m/09wsg,141.5,TRUE,BR-MG,2024-01,2025-07-31 14:38
dengue sem febre,/m/09wsg,139.5,TRUE,BR-MG,2024-01,2025-07-31 14:38
qual é o sintoma da dengue,/m/09wsg,137,TRUE,BR-MG,2024-01,2025-07-31 14:38
como saber se estou com dengue,/m/09wsg,132,TRUE,BR-MG,2024-01,2025-07-31 14:38
quanto tempo dura os sintomas da dengue,/m/09wsg,129.5,TRUE,BR-MG,2024-01,2025-07-31 14:38
o que comer quando esta com dengue,/m/09wsg,122,TRUE,BR-MG,2024-01,2025-07-31 14:38
sintomas iniciais de dengue,/m/09wsg,120.5,TRUE,BR-MG,2024-01,2025-07-31 14:38
ficha de notificação dengue,/m/09wsg,115.5,TRUE,BR-MG,2024-01,2025-07-31 14:38
posso tomar dipirona com dengue,/m/09wsg,110.5,TRUE,BR-MG,2024-01,2025-07-31 14:38
diferença entre pernilongo e mosquito da dengue,/m/09wsg,102,TRUE,BR-MG,2024-01,2025-07-31 14:38
pode tomar antialérgico com dengue,/m/09wsg,101,TRUE,BR-MG,2024-01,2025-07-31 14:38
