risingSearches,keyword,value,unknown,geo,time,sys_time
,Dengue,,,BR-AC,2024-05,2025-07-31 13:45
dengue hemorrágica,Dengue,1.1,FALSE,BR-AL,2024-05,2025-07-31 13:45
quais os sintomas da dengue,Dengue,0.8,FALSE,BR-AL,2024-05,2025-07-31 13:45
,Dengue,,,BR-AM,2024-05,2025-07-31 13:45
sintomas da dengue,Dengue,0.5,FALSE,BR-AP,2024-05,2025-07-31 13:45
manchas de dengue no corpo,Dengue,214.5,TRUE,BR-BA,2024-05,2025-07-31 13:45
paracetamol serve para que,Dengue,3.5,FALSE,BR-BA,2024-05,2025-07-31 13:45
quais remedios nao pode tomar com dengue,Dengue,2,FALSE,BR-BA,2024-05,2025-07-31 13:45
sintomas da virose,Dengue,1.8,FALSE,BR-BA,2024-05,2025-07-31 13:45
quanto tempo dura a dengue,Dengue,1.8,FALSE,BR-BA,2024-05,2025-07-31 13:45
quantos dias dura a dengue,Dengue,1.7,FALSE,BR-BA,2024-05,2025-07-31 13:45
fotos de manchas de dengue,Dengue,1.6,FALSE,BR-BA,2024-05,2025-07-31 13:45
dengue quantos dias de repouso,Dengue,1.5,FALSE,BR-BA,2024-05,2025-07-31 13:45
qual remedio nao pode tomar com dengue,Dengue,1.4,FALSE,BR-BA,2024-05,2025-07-31 13:45
qual remédio não pode tomar com dengue,Dengue,1,FALSE,BR-BA,2024-05,2025-07-31 13:45
remedio que pode tomar com dengue,Dengue,1,FALSE,BR-BA,2024-05,2025-07-31 13:45
remedios que não pode tomar com dengue,Dengue,0.9,FALSE,BR-BA,2024-05,2025-07-31 13:45
virose,Dengue,0.7,FALSE,BR-BA,2024-05,2025-07-31 13:45
prova do laço dengue,Dengue,0.6,FALSE,BR-BA,2024-05,2025-07-31 13:45
sintomas de gravidez,Dengue,0.6,FALSE,BR-BA,2024-05,2025-07-31 13:45
dengue cid,Dengue,0.6,FALSE,BR-BA,2024-05,2025-07-31 13:45
sinan dengue,Dengue,0.5,FALSE,BR-BA,2024-05,2025-07-31 13:45
sintomas de virose,Dengue,0.5,FALSE,BR-BA,2024-05,2025-07-31 13:45
exame de dengue,Dengue,0.5,FALSE,BR-BA,2024-05,2025-07-31 13:45
