topSearches,value,geo,keyword,time,sys_time
sintomas da dengue,100,BR-AC,Dengue,2022-02,2025-07-23 14:35
dengue,100,BR-AL,Dengue,2022-02,2025-07-23 14:35
dengue sintomas,29,BR-AL,Dengue,2022-02,2025-07-23 14:35
sintomas da dengue,17,BR-AL,Dengue,2022-02,2025-07-23 14:35
sintomas de dengue,9,BR-AL,Dengue,2022-02,2025-07-23 14:35
dengue,100,BR-AM,Dengue,2022-02,2025-07-23 14:35
dengue sintomas,21,BR-AM,Dengue,2022-02,2025-07-23 14:35
sintomas da dengue,13,BR-AM,Dengue,2022-02,2025-07-23 14:35
,,BR-AP,Dengue,2022-02,2025-07-23 14:35
dengue,100,BR-BA,Dengue,2022-02,2025-07-23 14:35
dengue sintomas,27,BR-BA,Dengue,2022-02,2025-07-23 14:35
sintomas da dengue,13,BR-BA,Dengue,2022-02,2025-07-23 14:35
chikungunya,10,BR-BA,Dengue,2022-02,2025-07-23 14:35
sintomas de dengue,10,BR-BA,Dengue,2022-02,2025-07-23 14:35
mosquito da dengue,8,BR-BA,Dengue,2022-02,2025-07-23 14:35
dengue hemorrágica,3,BR-BA,Dengue,2022-02,2025-07-23 14:35
quais os sintomas da dengue,3,BR-BA,Dengue,2022-02,2025-07-23 14:35
dengue tratamento,2,BR-BA,Dengue,2022-02,2025-07-23 14:35
sintomas da covid,2,BR-BA,Dengue,2022-02,2025-07-23 14:35
sintomas de chikungunya,2,BR-BA,Dengue,2022-02,2025-07-23 14:35
quais são os sintomas da dengue,1,BR-BA,Dengue,2022-02,2025-07-23 14:35
dengue online,1,BR-BA,Dengue,2022-02,2025-07-23 14:35
dengue,100,BR-CE,Dengue,2022-02,2025-07-23 14:35
dengue sintomas,24,BR-CE,Dengue,2022-02,2025-07-23 14:35
mosquito da dengue,12,BR-CE,Dengue,2022-02,2025-07-23 14:35
sintomas da dengue,10,BR-CE,Dengue,2022-02,2025-07-23 14:35
sintomas de dengue,9,BR-CE,Dengue,2022-02,2025-07-23 14:35
chikungunya sintomas,4,BR-CE,Dengue,2022-02,2025-07-23 14:35
sintomas do covid,3,BR-CE,Dengue,2022-02,2025-07-23 14:35
quais os sintomas da dengue,2,BR-CE,Dengue,2022-02,2025-07-23 14:35
sintomas da chikungunya,2,BR-CE,Dengue,2022-02,2025-07-23 14:35
manchas de dengue,2,BR-CE,Dengue,2022-02,2025-07-23 14:35
dengue hemorrágica,1,BR-CE,Dengue,2022-02,2025-07-23 14:35
sinan dengue,1,BR-CE,Dengue,2022-02,2025-07-23 14:35
foto do mosquito da dengue,1,BR-CE,Dengue,2022-02,2025-07-23 14:35
dengue é contagiosa,1,BR-CE,Dengue,2022-02,2025-07-23 14:35
dengue,100,BR-DF,Dengue,2022-02,2025-07-23 14:35
sintomas dengue,28,BR-DF,Dengue,2022-02,2025-07-23 14:35
sintomas da dengue,15,BR-DF,Dengue,2022-02,2025-07-23 14:35
sintomas de dengue,8,BR-DF,Dengue,2022-02,2025-07-23 14:35
covid sintomas,5,BR-DF,Dengue,2022-02,2025-07-23 14:35
mosquito da dengue,4,BR-DF,Dengue,2022-02,2025-07-23 14:35
