topicTitle,topicId,value,geo,keyword,time,sys_time
COVID-19,/g/11j2cc_qll,100,BR-AC,Dengue,2020-07,2025-07-22 18:26
Symptom,/m/01b_06,97,BR-AC,Dengue,2020-07,2025-07-22 18:26
Fever,/m/0cjf0,37,BR-AC,Dengue,2020-07,2025-07-22 18:26
Mosquito,/m/09f96,28,BR-AC,Dengue,2020-07,2025-07-22 18:26
Symptom,/m/01b_06,100,BR-AL,Dengue,2020-07,2025-07-22 18:26
Mosquito,/m/09f96,94,BR-AL,Dengue,2020-07,2025-07-22 18:26
Yellow fever mosquito,/m/06y6_w,87,BR-AL,Dengue,2020-07,2025-07-22 18:26
Disease,/m/027x3,60,BR-AL,Dengue,2020-07,2025-07-22 18:26
Virus,/m/0g9pc,32,BR-AL,Dengue,2020-07,2025-07-22 18:26
Chikungunya virus infection,/m/01__7l,30,BR-AL,Dengue,2020-07,2025-07-22 18:26
Zika fever,/m/02vkznh,26,BR-AL,Dengue,2020-07,2025-07-22 18:26
Health,/m/0kt51,26,BR-AL,Dengue,2020-07,2025-07-22 18:26
Public Health,/m/02cm61,23,BR-AL,Dengue,2020-07,2025-07-22 18:26
Aedes,/m/01yz26,22,BR-AL,Dengue,2020-07,2025-07-22 18:26
Structure,/m/0n68_,19,BR-AL,Dengue,2020-07,2025-07-22 18:26
Combat,/m/0byj4,18,BR-AL,Dengue,2020-07,2025-07-22 18:26
Fever,/m/0cjf0,15,BR-AL,Dengue,2020-07,2025-07-22 18:26
Transmission,/m/036991,15,BR-AL,Dengue,2020-07,2025-07-22 18:26
Epidemic,/m/0hn9s,11,BR-AL,Dengue,2020-07,2025-07-22 18:26
Cause,/m/0j276x9,11,BR-AL,Dengue,2020-07,2025-07-22 18:26
Malaria,/m/0542n,11,BR-AL,Dengue,2020-07,2025-07-22 18:26
Hepatitis A,/m/01yjzm,9,BR-AL,Dengue,2020-07,2025-07-22 18:26
Organism,/m/05nnm,9,BR-AL,Dengue,2020-07,2025-07-22 18:26
International Classification of Diseases,/m/03zlr,8,BR-AL,Dengue,2020-07,2025-07-22 18:26
Bacteria,/m/017q2,7,BR-AL,Dengue,2020-07,2025-07-22 18:26
Therapy,/m/03c1dkx,7,BR-AL,Dengue,2020-07,2025-07-22 18:26
Symptom,/m/01b_06,100,BR-AM,Dengue,2020-07,2025-07-22 18:26
Bleeding,/m/012n6x,39,BR-AM,Dengue,2020-07,2025-07-22 18:26
Disease,/m/027x3,36,BR-AM,Dengue,2020-07,2025-07-22 18:26
Mosquito,/m/09f96,31,BR-AM,Dengue,2020-07,2025-07-22 18:26
China,/m/0d05w3,26,BR-AM,Dengue,2020-07,2025-07-22 18:26
Malaria,/m/0542n,23,BR-AM,Dengue,2020-07,2025-07-22 18:26
Zika fever,/m/02vkznh,22,BR-AM,Dengue,2020-07,2025-07-22 18:26
Therapy,/m/03c1dkx,19,BR-AM,Dengue,2020-07,2025-07-22 18:26
Yellow fever mosquito,/m/06y6_w,19,BR-AM,Dengue,2020-07,2025-07-22 18:26
Virus,/m/0g9pc,18,BR-AM,Dengue,2020-07,2025-07-22 18:26
Body,/m/0180q,13,BR-AM,Dengue,2020-07,2025-07-22 18:26
Chikungunya virus infection,/m/01__7l,13,BR-AM,Dengue,2020-07,2025-07-22 18:26
Organism,/m/05nnm,11,BR-AM,Dengue,2020-07,2025-07-22 18:26
,,,BR-AP,Dengue,2020-07,2025-07-22 18:26
Symptom,/m/01b_06,100,BR-BA,Dengue,2020-07,2025-07-22 18:26
Chikungunya virus infection,/m/01__7l,46,BR-BA,Dengue,2020-07,2025-07-22 18:26
Zika fever,/m/02vkznh,37,BR-BA,Dengue,2020-07,2025-07-22 18:26
Yellow fever mosquito,/m/06y6_w,32,BR-BA,Dengue,2020-07,2025-07-22 18:26
Mosquito,/m/09f96,31,BR-BA,Dengue,2020-07,2025-07-22 18:26
Disease,/m/027x3,11,BR-BA,Dengue,2020-07,2025-07-22 18:26
Virus,/m/0g9pc,11,BR-BA,Dengue,2020-07,2025-07-22 18:26
Body,/m/0180q,9,BR-BA,Dengue,2020-07,2025-07-22 18:26
Bleeding,/m/012n6x,8,BR-BA,Dengue,2020-07,2025-07-22 18:26
Fever,/m/0cjf0,8,BR-BA,Dengue,2020-07,2025-07-22 18:26
Metamizole,/m/08j19g,6,BR-BA,Dengue,2020-07,2025-07-22 18:26
Transmission,/m/036991,6,BR-BA,Dengue,2020-07,2025-07-22 18:26
Immunoglobulin G,/m/02gsf4,6,BR-BA,Dengue,2020-07,2025-07-22 18:26
Acetaminophen,/m/0lbt3,5,BR-BA,Dengue,2020-07,2025-07-22 18:26
Cause,/m/0j276x9,5,BR-BA,Dengue,2020-07,2025-07-22 18:26
Therapy,/m/03c1dkx,5,BR-BA,Dengue,2020-07,2025-07-22 18:26
China,/m/0d05w3,5,BR-BA,Dengue,2020-07,2025-07-22 18:26
Pharmaceutical drug,/m/018l35,4,BR-BA,Dengue,2020-07,2025-07-22 18:26
Itch,/m/04kllm9,4,BR-BA,Dengue,2020-07,2025-07-22 18:26
Zika virus,/m/080m_5j,4,BR-BA,Dengue,2020-07,2025-07-22 18:26
Aedes,/m/01yz26,4,BR-BA,Dengue,2020-07,2025-07-22 18:26
Influenza,/m/0cycc,4,BR-BA,Dengue,2020-07,2025-07-22 18:26
Immunoglobulin M,/m/02gshc,4,BR-BA,Dengue,2020-07,2025-07-22 18:26
Combat,/m/0byj4,3,BR-BA,Dengue,2020-07,2025-07-22 18:26
Symptom,/m/01b_06,100,BR-CE,Dengue,2020-07,2025-07-22 18:26
Mosquito,/m/09f96,36,BR-CE,Dengue,2020-07,2025-07-22 18:26
Yellow fever mosquito,/m/06y6_w,34,BR-CE,Dengue,2020-07,2025-07-22 18:26
COVID-19,/g/11j2cc_qll,28,BR-CE,Dengue,2020-07,2025-07-22 18:26
Disease,/m/027x3,23,BR-CE,Dengue,2020-07,2025-07-22 18:26
Virus,/m/0g9pc,20,BR-CE,Dengue,2020-07,2025-07-22 18:26
Zika fever,/m/02vkznh,15,BR-CE,Dengue,2020-07,2025-07-22 18:26
Chikungunya virus infection,/m/01__7l,13,BR-CE,Dengue,2020-07,2025-07-22 18:26
Bleeding,/m/012n6x,12,BR-CE,Dengue,2020-07,2025-07-22 18:26
Fever,/m/0cjf0,12,BR-CE,Dengue,2020-07,2025-07-22 18:26
Bacteria,/m/017q2,11,BR-CE,Dengue,2020-07,2025-07-22 18:26
Transmission,/m/036991,10,BR-CE,Dengue,2020-07,2025-07-22 18:26
Therapy,/m/03c1dkx,9,BR-CE,Dengue,2020-07,2025-07-22 18:26
Itch,/m/04kllm9,9,BR-CE,Dengue,2020-07,2025-07-22 18:26
Aedes,/m/01yz26,8,BR-CE,Dengue,2020-07,2025-07-22 18:26
Infection,/m/098s1,8,BR-CE,Dengue,2020-07,2025-07-22 18:26
Body,/m/0180q,8,BR-CE,Dengue,2020-07,2025-07-22 18:26
Influenza,/m/0cycc,8,BR-CE,Dengue,2020-07,2025-07-22 18:26
Yellow fever,/m/087z2,8,BR-CE,Dengue,2020-07,2025-07-22 18:26
HIV/AIDS,/m/0d19y2,8,BR-CE,Dengue,2020-07,2025-07-22 18:26
China,/m/0d05w3,7,BR-CE,Dengue,2020-07,2025-07-22 18:26
Blood,/m/019jw,7,BR-CE,Dengue,2020-07,2025-07-22 18:26
