topicTitle,topicId,value,geo,keyword,time,sys_time
Symptom,/m/01b_06,100,BR-AC,Dengue,2021-09,2025-07-23 14:21
Yellow fever mosquito,/m/06y6_w,76,BR-AC,Dengue,2021-09,2025-07-23 14:21
Symptom,/m/01b_06,100,BR-AL,Dengue,2021-09,2025-07-23 14:21
Mosquito,/m/09f96,44,BR-AL,Dengue,2021-09,2025-07-23 14:21
Yellow fever mosquito,/m/06y6_w,42,BR-AL,Dengue,2021-09,2025-07-23 14:21
Disease,/m/027x3,29,BR-AL,Dengue,2021-09,2025-07-23 14:21
Bleeding,/m/012n6x,16,BR-AL,Dengue,2021-09,2025-07-23 14:21
Transmission,/m/036991,16,BR-AL,Dengue,2021-09,2025-07-23 14:21
Itch,/m/04kllm9,15,BR-AL,Dengue,2021-09,2025-07-23 14:21
Zika fever,/m/02vkznh,14,BR-AL,Dengue,2021-09,2025-07-23 14:21
Pain,/m/062t2,13,BR-AL,Dengue,2021-09,2025-07-23 14:21
Body,/m/0180q,13,BR-AL,Dengue,2021-09,2025-07-23 14:21
Preschool,/m/027wyv,13,BR-AL,Dengue,2021-09,2025-07-23 14:21
Hepatitis A,/m/01yjzm,9,BR-AL,Dengue,2021-09,2025-07-23 14:21
Chikungunya virus infection,/m/01__7l,7,BR-AL,Dengue,2021-09,2025-07-23 14:21
Fever,/m/0cjf0,6,BR-AL,Dengue,2021-09,2025-07-23 14:21
Aedes,/m/01yz26,6,BR-AL,Dengue,2021-09,2025-07-23 14:21
Symptom,/m/01b_06,100,BR-AM,Dengue,2021-09,2025-07-23 14:21
Mosquito,/m/09f96,88,BR-AM,Dengue,2021-09,2025-07-23 14:21
Yellow fever mosquito,/m/06y6_w,75,BR-AM,Dengue,2021-09,2025-07-23 14:21
Disease,/m/027x3,74,BR-AM,Dengue,2021-09,2025-07-23 14:21
Virus,/m/0g9pc,63,BR-AM,Dengue,2021-09,2025-07-23 14:21
Bleeding,/m/012n6x,41,BR-AM,Dengue,2021-09,2025-07-23 14:21
Preventive healthcare,/m/0400g4,38,BR-AM,Dengue,2021-09,2025-07-23 14:21
Chikungunya virus infection,/m/01__7l,37,BR-AM,Dengue,2021-09,2025-07-23 14:21
Zika fever,/m/02vkznh,36,BR-AM,Dengue,2021-09,2025-07-23 14:21
Transmission,/m/036991,31,BR-AM,Dengue,2021-09,2025-07-23 14:21
Physical examination,/m/02vjj4,29,BR-AM,Dengue,2021-09,2025-07-23 14:21
Cause,/m/0j276x9,29,BR-AM,Dengue,2021-09,2025-07-23 14:21
Tuberculosis,/m/07jwr,28,BR-AM,Dengue,2021-09,2025-07-23 14:21
HIV/AIDS,/m/0d19y2,24,BR-AM,Dengue,2021-09,2025-07-23 14:21
Aedes,/m/01yz26,24,BR-AM,Dengue,2021-09,2025-07-23 14:21
Epidemic,/m/0hn9s,19,BR-AM,Dengue,2021-09,2025-07-23 14:21
Influenza,/m/0cycc,18,BR-AM,Dengue,2021-09,2025-07-23 14:21
Malaria,/m/0542n,14,BR-AM,Dengue,2021-09,2025-07-23 14:21
Disease,/m/027x3,100,BR-AP,Dengue,2021-09,2025-07-23 14:21
Yellow fever mosquito,/m/06y6_w,77,BR-AP,Dengue,2021-09,2025-07-23 14:21
Being,/m/015ns,50,BR-AP,Dengue,2021-09,2025-07-23 14:21
Disease,/m/027x3,100,BR-BA,Dengue,2021-09,2025-07-23 14:21
Mosquito,/m/09f96,79,BR-BA,Dengue,2021-09,2025-07-23 14:21
Yellow fever mosquito,/m/06y6_w,79,BR-BA,Dengue,2021-09,2025-07-23 14:21
Symptom,/m/01b_06,79,BR-BA,Dengue,2021-09,2025-07-23 14:21
Virus,/m/0g9pc,74,BR-BA,Dengue,2021-09,2025-07-23 14:21
Chikungunya virus infection,/m/01__7l,49,BR-BA,Dengue,2021-09,2025-07-23 14:21
Zika fever,/m/02vkznh,41,BR-BA,Dengue,2021-09,2025-07-23 14:21
Transmission,/m/036991,34,BR-BA,Dengue,2021-09,2025-07-23 14:21
Organism,/m/05nnm,32,BR-BA,Dengue,2021-09,2025-07-23 14:21
Aedes,/m/01yz26,31,BR-BA,Dengue,2021-09,2025-07-23 14:21
Bacteria,/m/017q2,29,BR-BA,Dengue,2021-09,2025-07-23 14:21
Yellow fever,/m/087z2,28,BR-BA,Dengue,2021-09,2025-07-23 14:21
Viral Infection,/m/02kc20m,27,BR-BA,Dengue,2021-09,2025-07-23 14:21
Influenza,/m/0cycc,27,BR-BA,Dengue,2021-09,2025-07-23 14:21
Health,/m/0kt51,26,BR-BA,Dengue,2021-09,2025-07-23 14:21
Preventive healthcare,/m/0400g4,26,BR-BA,Dengue,2021-09,2025-07-23 14:21
Human,/m/0dgw9r,24,BR-BA,Dengue,2021-09,2025-07-23 14:21
HIV/AIDS,/m/0d19y2,19,BR-BA,Dengue,2021-09,2025-07-23 14:21
Infection,/m/098s1,18,BR-BA,Dengue,2021-09,2025-07-23 14:21
Cell,/m/01cbd,18,BR-BA,Dengue,2021-09,2025-07-23 14:21
Coronavirus,/m/01cpyy,18,BR-BA,Dengue,2021-09,2025-07-23 14:21
World Health Organization,/m/0840w,16,BR-BA,Dengue,2021-09,2025-07-23 14:21
Cause,/m/0j276x9,15,BR-BA,Dengue,2021-09,2025-07-23 14:21
Fever,/m/0cjf0,15,BR-BA,Dengue,2021-09,2025-07-23 14:21
Biology,/m/01540,15,BR-BA,Dengue,2021-09,2025-07-23 14:21
Symptom,/m/01b_06,100,BR-CE,Dengue,2021-09,2025-07-23 14:21
Mosquito,/m/09f96,58,BR-CE,Dengue,2021-09,2025-07-23 14:21
Yellow fever mosquito,/m/06y6_w,55,BR-CE,Dengue,2021-09,2025-07-23 14:21
Disease,/m/027x3,45,BR-CE,Dengue,2021-09,2025-07-23 14:21
Virus,/m/0g9pc,31,BR-CE,Dengue,2021-09,2025-07-23 14:21
Aedes,/m/01yz26,20,BR-CE,Dengue,2021-09,2025-07-23 14:21
Disease vector,/g/1213bm7p,18,BR-CE,Dengue,2021-09,2025-07-23 14:21
Bleeding,/m/012n6x,18,BR-CE,Dengue,2021-09,2025-07-23 14:21
Transmission,/m/036991,17,BR-CE,Dengue,2021-09,2025-07-23 14:21
Organism,/m/05nnm,15,BR-CE,Dengue,2021-09,2025-07-23 14:21
Fever,/m/0cjf0,15,BR-CE,Dengue,2021-09,2025-07-23 14:21
Bacteria,/m/017q2,15,BR-CE,Dengue,2021-09,2025-07-23 14:21
Zika fever,/m/02vkznh,15,BR-CE,Dengue,2021-09,2025-07-23 14:21
Preventive healthcare,/m/0400g4,15,BR-CE,Dengue,2021-09,2025-07-23 14:21
Pharmaceutical drug,/m/018l35,13,BR-CE,Dengue,2021-09,2025-07-23 14:21
Cell,/m/01cbd,13,BR-CE,Dengue,2021-09,2025-07-23 14:21
Physical examination,/m/02vjj4,11,BR-CE,Dengue,2021-09,2025-07-23 14:21
Chemical substance,/m/01q5f,11,BR-CE,Dengue,2021-09,2025-07-23 14:21
Reproduction,/m/06kcv,10,BR-CE,Dengue,2021-09,2025-07-23 14:21
Functional group,/m/02ydd,10,BR-CE,Dengue,2021-09,2025-07-23 14:21
Rain,/m/06mb1,10,BR-CE,Dengue,2021-09,2025-07-23 14:21
Influenza,/m/0cycc,9,BR-CE,Dengue,2021-09,2025-07-23 14:21
Symptom,/m/01b_06,100,BR-DF,Dengue,2021-09,2025-07-23 14:21
Disease,/m/027x3,38,BR-DF,Dengue,2021-09,2025-07-23 14:21
Cause,/m/0j276x9,37,BR-DF,Dengue,2021-09,2025-07-23 14:21
Yellow fever mosquito,/m/06y6_w,36,BR-DF,Dengue,2021-09,2025-07-23 14:21
Virus,/m/0g9pc,30,BR-DF,Dengue,2021-09,2025-07-23 14:21
Mosquito,/m/09f96,28,BR-DF,Dengue,2021-09,2025-07-23 14:21
Transmission,/m/036991,27,BR-DF,Dengue,2021-09,2025-07-23 14:21
Chikungunya virus infection,/m/01__7l,23,BR-DF,Dengue,2021-09,2025-07-23 14:21
Yellow fever,/m/087z2,23,BR-DF,Dengue,2021-09,2025-07-23 14:21
Zika fever,/m/02vkznh,22,BR-DF,Dengue,2021-09,2025-07-23 14:21
Bleeding,/m/012n6x,21,BR-DF,Dengue,2021-09,2025-07-23 14:21
Aedes,/m/01yz26,21,BR-DF,Dengue,2021-09,2025-07-23 14:21
Patient,/m/028hfb,20,BR-DF,Dengue,2021-09,2025-07-23 14:21
Species,/m/06zf0,17,BR-DF,Dengue,2021-09,2025-07-23 14:21
Time,/m/07c_l,17,BR-DF,Dengue,2021-09,2025-07-23 14:21
Combat,/m/0byj4,16,BR-DF,Dengue,2021-09,2025-07-23 14:21
Influenza,/m/0cycc,14,BR-DF,Dengue,2021-09,2025-07-23 14:21
etiological factor,/g/121bdggj,13,BR-DF,Dengue,2021-09,2025-07-23 14:21
Natural environment,/m/02py09,12,BR-DF,Dengue,2021-09,2025-07-23 14:21
Physics,/m/05qjt,12,BR-DF,Dengue,2021-09,2025-07-23 14:21
Analysis,/g/121vr6rm,11,BR-DF,Dengue,2021-09,2025-07-23 14:21
Socioeconomics,/m/02j41k,10,BR-DF,Dengue,2021-09,2025-07-23 14:21
Epidemic,/m/0hn9s,9,BR-DF,Dengue,2021-09,2025-07-23 14:21
Goal,/m/03g_1kv,9,BR-DF,Dengue,2021-09,2025-07-23 14:21
Region,/m/0fg5q,9,BR-DF,Dengue,2021-09,2025-07-23 14:21
Symptom,/m/01b_06,100,BR-ES,Dengue,2021-09,2025-07-23 14:21
Yellow fever mosquito,/m/06y6_w,61,BR-ES,Dengue,2021-09,2025-07-23 14:21
Mosquito,/m/09f96,52,BR-ES,Dengue,2021-09,2025-07-23 14:21
Virus,/m/0g9pc,50,BR-ES,Dengue,2021-09,2025-07-23 14:21
Transmission,/m/036991,49,BR-ES,Dengue,2021-09,2025-07-23 14:21
Plot,/m/04q347y,47,BR-ES,Dengue,2021-09,2025-07-23 14:21
Disease,/m/027x3,39,BR-ES,Dengue,2021-09,2025-07-23 14:21
Oxygen,/m/025s6bf,36,BR-ES,Dengue,2021-09,2025-07-23 14:21
Disease vector,/g/1213bm7p,27,BR-ES,Dengue,2021-09,2025-07-23 14:21
Chikungunya virus infection,/m/01__7l,25,BR-ES,Dengue,2021-09,2025-07-23 14:21
Zika fever,/m/02vkznh,25,BR-ES,Dengue,2021-09,2025-07-23 14:21
Yellow fever,/m/087z2,24,BR-ES,Dengue,2021-09,2025-07-23 14:21
Combat,/m/0byj4,23,BR-ES,Dengue,2021-09,2025-07-23 14:21
Skin,/m/06z04,19,BR-ES,Dengue,2021-09,2025-07-23 14:21
Production,/m/0806jls,17,BR-ES,Dengue,2021-09,2025-07-23 14:21
Aedes,/m/01yz26,16,BR-ES,Dengue,2021-09,2025-07-23 14:21
HIV/AIDS,/m/0d19y2,16,BR-ES,Dengue,2021-09,2025-07-23 14:21
Structure,/m/0n68_,16,BR-ES,Dengue,2021-09,2025-07-23 14:21
Cell,/m/01cbd,12,BR-ES,Dengue,2021-09,2025-07-23 14:21
Preventive healthcare,/m/0400g4,11,BR-ES,Dengue,2021-09,2025-07-23 14:21
Bleeding,/m/012n6x,10,BR-ES,Dengue,2021-09,2025-07-23 14:21
Symptom,/m/01b_06,100,BR-GO,Dengue,2021-09,2025-07-23 14:21
Mosquito,/m/09f96,54,BR-GO,Dengue,2021-09,2025-07-23 14:21
Yellow fever mosquito,/m/06y6_w,48,BR-GO,Dengue,2021-09,2025-07-23 14:21
Disease,/m/027x3,46,BR-GO,Dengue,2021-09,2025-07-23 14:21
Virus,/m/0g9pc,38,BR-GO,Dengue,2021-09,2025-07-23 14:21
Health,/m/0kt51,35,BR-GO,Dengue,2021-09,2025-07-23 14:21
Transmission,/m/036991,23,BR-GO,Dengue,2021-09,2025-07-23 14:21
Physical examination,/m/02vjj4,20,BR-GO,Dengue,2021-09,2025-07-23 14:21
Bleeding,/m/012n6x,19,BR-GO,Dengue,2021-09,2025-07-23 14:21
Body,/m/0180q,18,BR-GO,Dengue,2021-09,2025-07-23 14:21
Preventive healthcare,/m/0400g4,17,BR-GO,Dengue,2021-09,2025-07-23 14:21
Zika fever,/m/02vkznh,16,BR-GO,Dengue,2021-09,2025-07-23 14:21
